CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST00001,63,2,17762.54,4,3,3,433,10,Loyal Customers
CUST00002,5,1,5911.62,5,1,2,512,8,Recent Customers
CUST00003,146,1,4724.24,3,1,1,311,5,Needs Attention
CUST00004,111,1,11023.18,4,1,3,413,8,Recent Customers
CUST00005,185,3,12549.539999999999,3,4,3,343,10,Potential Loyalists
CUST00006,47,5,36044.1,5,5,5,555,15,Champions
CUST00007,10,5,44746.6,5,5,5,555,15,Champions
CUST00008,18,1,5464.549999999999,5,1,1,511,7,Recent Customers
CUST00009,132,2,4917.53,3,3,1,331,7,Potential Loyalists
CUST00010,164,1,13813.45,3,1,3,313,7,Needs Attention
CUST00011,151,1,687.3,3,1,1,311,5,Needs Attention
CUST00012,12,7,82042.9,5,5,5,555,15,Champions
CUST00013,473,1,6184.040000000001,1,1,2,112,4,Hibernating / Lost
CUST00014,520,1,9062.84,1,1,2,112,4,Hibernating / Lost
CUST00015,254,1,4525.22,2,1,1,211,4,Hibernating / Lost
CUST00016,168,1,200.01999999999998,3,1,1,311,5,Needs Attention
CUST00017,223,1,5607.91,2,1,2,212,5,Hibernating / Lost
CUST00018,445,2,12498.119999999999,1,3,3,133,7,At Risk
CUST00019,391,1,4714.25,1,1,1,111,3,Hibernating / Lost
CUST00020,22,7,56598.85,5,5,5,555,15,Champions
CUST00021,178,4,39342.5,3,4,5,345,12,Potential Loyalists
CUST00022,326,1,12372.119999999999,2,1,3,213,6,Needs Attention
CUST00023,105,1,1656.2,4,1,1,411,6,Recent Customers
CUST00024,293,1,1958.91,2,1,1,211,4,Hibernating / Lost
CUST00025,133,2,20738.29,3,3,4,334,10,Potential Loyalists
CUST00026,470,1,20416.72,1,1,4,114,6,Needs Attention
CUST00027,23,2,20056.16,5,3,4,534,12,Loyal Customers
CUST00028,70,1,9248.45,4,1,2,412,7,Recent Customers
CUST00029,213,2,20114.149999999998,2,3,4,234,9,At Risk
CUST00030,97,1,4500.26,4,1,1,411,6,Recent Customers
CUST00031,383,1,7211.0599999999995,1,1,2,112,4,Hibernating / Lost
CUST00032,7,11,84854.76,5,5,5,555,15,Champions
CUST00033,29,3,10573.17,5,4,2,542,11,Loyal Customers
CUST00034,419,1,16577.920000000002,1,1,3,113,5,Needs Attention
CUST00035,227,6,28491.239999999998,2,5,4,254,11,At Risk (High Value)
CUST00036,400,2,12672.43,1,3,3,133,7,At Risk
CUST00037,6,7,63977.380000000005,5,5,5,555,15,Champions
CUST00038,475,4,32939.29,1,4,4,144,9,At Risk (High Value)
CUST00039,160,1,6983.97,3,1,2,312,6,Needs Attention
CUST00040,274,1,7754.02,2,1,2,212,5,Hibernating / Lost
CUST00041,287,1,10448.8,2,1,2,212,5,Hibernating / Lost
CUST00042,345,2,21970.11,1,3,4,134,8,At Risk
CUST00043,363,2,16998.77,1,3,3,133,7,At Risk
CUST00044,218,1,12375.95,2,1,3,213,6,Needs Attention
CUST00045,155,1,6667.86,3,1,2,312,6,Needs Attention
CUST00046,179,5,26408.9,3,5,4,354,12,Potential Loyalists
CUST00047,12,25,257139.24000000002,5,5,5,555,15,Champions
CUST00048,211,2,8746.86,2,3,2,232,7,At Risk
CUST00049,170,1,1074.08,3,1,1,311,5,Needs Attention
CUST00050,479,1,2294.21,1,1,1,111,3,Hibernating / Lost
CUST00051,444,1,10884.42,1,1,2,112,4,Hibernating / Lost
CUST00052,77,8,59170.520000000004,4,5,5,455,14,Champions
CUST00053,518,1,6363.73,1,1,2,112,4,Hibernating / Lost
CUST00054,114,1,203.19,4,1,1,411,6,Recent Customers
CUST00055,460,1,16004.35,1,1,3,113,5,Needs Attention
CUST00056,46,2,6980.77,5,3,2,532,10,Loyal Customers
CUST00057,156,2,34637.6,3,3,4,334,10,Potential Loyalists
CUST00058,15,5,22780.4,5,5,4,554,14,Champions
CUST00059,498,1,1909.3200000000002,1,1,1,111,3,Hibernating / Lost
CUST00060,231,1,3664.5099999999998,2,1,1,211,4,Hibernating / Lost
CUST00061,261,1,9587.34,2,1,2,212,5,Hibernating / Lost
CUST00062,61,7,44721.75,4,5,5,455,14,Champions
CUST00063,126,6,49879.09,3,5,5,355,13,Potential Loyalists
CUST00064,421,2,8427.59,1,3,2,132,6,At Risk
CUST00065,68,2,20013.18,4,3,4,434,11,Loyal Customers
CUST00066,67,2,22259.88,4,3,4,434,11,Loyal Customers
CUST00067,191,1,4173.92,3,1,1,311,5,Needs Attention
CUST00068,112,7,45730.409999999996,4,5,5,455,14,Champions
CUST00069,273,1,7215.53,2,1,2,212,5,Hibernating / Lost
CUST00070,318,1,6517.76,2,1,2,212,5,Hibernating / Lost
CUST00071,112,2,10086.8,4,3,2,432,9,Loyal Customers
CUST00072,397,1,5430.4400000000005,1,1,1,111,3,Hibernating / Lost
CUST00073,534,1,2672.71,1,1,1,111,3,Hibernating / Lost
CUST00074,238,3,27734.72,2,4,4,244,10,At Risk (High Value)
CUST00075,277,1,12693.75,2,1,3,213,6,Needs Attention
CUST00076,154,2,18288.77,3,3,3,333,9,Potential Loyalists
CUST00077,487,1,3149.13,1,1,1,111,3,Hibernating / Lost
CUST00078,217,1,3379.52,2,1,1,211,4,Hibernating / Lost
CUST00079,520,1,9969.59,1,1,2,112,4,Hibernating / Lost
CUST00080,171,1,4056.07,3,1,1,311,5,Needs Attention
CUST00081,103,3,31726.09,4,4,4,444,12,Champions
CUST00082,252,1,5600.9400000000005,2,1,2,212,5,Hibernating / Lost
CUST00083,242,2,10375.75,2,3,2,232,7,At Risk
CUST00084,11,1,3065.9799999999996,5,1,1,511,7,Recent Customers
CUST00085,66,2,29740.8,4,3,4,434,11,Loyal Customers
CUST00086,41,10,63680.49,5,5,5,555,15,Champions
CUST00087,3,3,45850.13,5,4,5,545,14,Champions
CUST00088,471,1,16662.24,1,1,3,113,5,Needs Attention
CUST00089,231,1,6342.39,2,1,2,212,5,Hibernating / Lost
CUST00090,3,1,2534.96,5,1,1,511,7,Recent Customers
CUST00091,94,2,8481.09,4,3,2,432,9,Loyal Customers
CUST00092,149,1,2357.0600000000004,3,1,1,311,5,Needs Attention
CUST00093,32,2,12574.9,5,3,3,533,11,Loyal Customers
CUST00094,21,2,9209.07,5,3,2,532,10,Loyal Customers
CUST00095,215,1,13460.91,2,1,3,213,6,Needs Attention
CUST00096,279,4,39665.729999999996,2,4,5,245,11,At Risk (High Value)
CUST00097,521,1,13619.4,1,1,3,113,5,Needs Attention
CUST00098,265,1,19304.539999999997,2,1,4,214,7,Needs Attention
CUST00099,104,3,16648.39,4,4,3,443,11,Loyal Customers
CUST00100,10,2,16012.56,5,3,3,533,11,Loyal Customers
CUST00101,271,3,34034.88,2,4,4,244,10,At Risk (High Value)
CUST00102,110,1,2800.8599999999997,4,1,1,411,6,Recent Customers
CUST00103,287,1,6005.09,2,1,2,212,5,Hibernating / Lost
CUST00104,16,4,50467.76,5,4,5,545,14,Champions
CUST00105,24,4,32637.07,5,4,4,544,13,Champions
CUST00106,83,3,27016.65,4,4,4,444,12,Champions
CUST00107,523,1,2461.56,1,1,1,111,3,Hibernating / Lost
CUST00108,116,2,32781.76,4,3,4,434,11,Loyal Customers
CUST00109,57,1,5987.92,4,1,2,412,7,Recent Customers
CUST00110,538,1,15952.13,1,1,3,113,5,Needs Attention
CUST00111,162,8,41655.19,3,5,5,355,13,Potential Loyalists
CUST00112,330,1,8840.55,2,1,2,212,5,Hibernating / Lost
CUST00113,21,12,119330.23,5,5,5,555,15,Champions
CUST00114,316,1,2814.55,2,1,1,211,4,Hibernating / Lost
CUST00115,156,1,1080.32,3,1,1,311,5,Needs Attention
CUST00116,308,2,17752.96,2,3,3,233,8,At Risk
CUST00117,179,6,52449.7,3,5,5,355,13,Potential Loyalists
CUST00118,55,3,19134.44,4,4,3,443,11,Loyal Customers
CUST00119,124,4,38678.71,3,4,5,345,12,Potential Loyalists
CUST00120,491,2,14717.06,1,3,3,133,7,At Risk
CUST00121,91,3,11071.76,4,4,3,443,11,Loyal Customers
CUST00122,93,5,38615.08,4,5,5,455,14,Champions
CUST00123,57,1,1308.83,4,1,1,411,6,Recent Customers
CUST00124,55,2,35703.66,4,3,4,434,11,Loyal Customers
CUST00125,517,1,6388.28,1,1,2,112,4,Hibernating / Lost
CUST00126,3,30,180742.57,5,5,5,555,15,Champions
CUST00127,154,11,66852.49,3,5,5,355,13,Potential Loyalists
CUST00128,58,1,9319.849999999999,4,1,2,412,7,Recent Customers
CUST00129,74,3,30706.99,4,4,4,444,12,Champions
CUST00130,148,9,64897.86,3,5,5,355,13,Potential Loyalists
CUST00131,209,1,18075.06,2,1,3,213,6,Needs Attention
CUST00132,71,2,13806.02,4,3,3,433,10,Loyal Customers
CUST00133,4,8,49460.09,5,5,5,555,15,Champions
CUST00134,452,1,203.19,1,1,1,111,3,Hibernating / Lost
CUST00135,327,3,8803.65,2,4,2,242,8,At Risk
CUST00136,160,1,1401.58,3,1,1,311,5,Needs Attention
CUST00137,33,9,67029.49,5,5,5,555,15,Champions
CUST00138,16,17,152146.87,5,5,5,555,15,Champions
CUST00139,97,10,124853.74,4,5,5,455,14,Champions
CUST00140,5,1,17672.94,5,1,3,513,9,Recent Customers
CUST00141,152,5,57461.31,3,5,5,355,13,Potential Loyalists
CUST00142,130,5,37237.32,3,5,5,355,13,Potential Loyalists
CUST00143,472,1,23083.06,1,1,4,114,6,Needs Attention
CUST00144,29,5,46942.62,5,5,5,555,15,Champions
CUST00145,115,1,11623.24,4,1,3,413,8,Recent Customers
CUST00146,325,2,19206.05,2,3,3,233,8,At Risk
CUST00147,374,1,9628.26,1,1,2,112,4,Hibernating / Lost
CUST00148,257,1,9922.89,2,1,2,212,5,Hibernating / Lost
CUST00149,392,1,14046.93,1,1,3,113,5,Needs Attention
CUST00150,298,3,20949.71,2,4,4,244,10,At Risk (High Value)
CUST00151,282,1,25617.24,2,1,4,214,7,Needs Attention
CUST00152,56,3,19907.59,4,4,4,444,12,Champions
CUST00153,84,1,15465.24,4,1,3,413,8,Recent Customers
CUST00154,161,1,13769.439999999999,3,1,3,313,7,Needs Attention
CUST00155,230,2,30060.33,2,3,4,234,9,At Risk
CUST00156,67,4,23296.6,4,4,4,444,12,Champions
CUST00157,401,1,7168.860000000001,1,1,2,112,4,Hibernating / Lost
CUST00158,41,2,36528.02,5,3,5,535,13,Loyal Customers
CUST00159,68,6,52975.77,4,5,5,455,14,Champions
CUST00160,188,2,27071.769999999997,3,3,4,334,10,Potential Loyalists
CUST00161,324,1,1048.3,2,1,1,211,4,Hibernating / Lost
CUST00162,237,1,4233.02,2,1,1,211,4,Hibernating / Lost
CUST00163,91,6,53230.13,4,5,5,455,14,Champions
CUST00164,328,1,11788.38,2,1,3,213,6,Needs Attention
CUST00165,79,6,111390.7,4,5,5,455,14,Champions
CUST00166,255,2,13850.43,2,3,3,233,8,At Risk
CUST00167,12,10,58207.47,5,5,5,555,15,Champions
CUST00168,57,3,19681.61,4,4,4,444,12,Champions
CUST00169,22,45,402606.51,5,5,5,555,15,Champions
CUST00170,188,1,10005.4,3,1,2,312,6,Needs Attention
CUST00171,112,3,25540.04,4,4,4,444,12,Champions
CUST00172,397,1,16014.529999999999,1,1,3,113,5,Needs Attention
CUST00173,34,2,11529.11,5,3,3,533,11,Loyal Customers
CUST00174,241,2,7108.04,2,3,2,232,7,At Risk
CUST00175,32,6,53383.61,5,5,5,555,15,Champions
CUST00176,15,25,179667.2,5,5,5,555,15,Champions
CUST00177,107,3,7745.77,4,4,2,442,10,Loyal Customers
CUST00178,372,1,6480.61,1,1,2,112,4,Hibernating / Lost
CUST00179,299,1,3205.65,2,1,1,211,4,Hibernating / Lost
CUST00180,169,3,38060.17,3,4,5,345,12,Potential Loyalists
CUST00181,409,1,1705.84,1,1,1,111,3,Hibernating / Lost
CUST00182,252,1,9799.76,2,1,2,212,5,Hibernating / Lost
CUST00183,414,1,3043.4899999999993,1,1,1,111,3,Hibernating / Lost
CUST00184,228,1,8215.9,2,1,2,212,5,Hibernating / Lost
CUST00185,32,1,6089.0599999999995,5,1,2,512,8,Recent Customers
CUST00186,43,1,6900.08,5,1,2,512,8,Recent Customers
CUST00187,175,1,21000.13,3,1,4,314,8,Needs Attention
CUST00188,344,1,6560.96,2,1,2,212,5,Hibernating / Lost
CUST00189,21,29,219453.7,5,5,5,555,15,Champions
CUST00190,448,1,9775.59,1,1,2,112,4,Hibernating / Lost
CUST00191,386,1,4184.95,1,1,1,111,3,Hibernating / Lost
CUST00192,36,3,23665.690000000002,5,4,4,544,13,Champions
CUST00193,346,1,3589.5200000000004,1,1,1,111,3,Hibernating / Lost
CUST00194,18,11,57377.07,5,5,5,555,15,Champions
CUST00195,159,4,34401.84,3,4,4,344,11,Potential Loyalists
CUST00196,414,1,4945.98,1,1,1,111,3,Hibernating / Lost
CUST00198,108,6,54279.840000000004,4,5,5,455,14,Champions
CUST00199,96,11,78925.37,4,5,5,455,14,Champions
CUST00200,388,1,3823.83,1,1,1,111,3,Hibernating / Lost
CUST00201,129,2,13946.35,3,3,3,333,9,Potential Loyalists
CUST00202,286,1,3034.7,2,1,1,211,4,Hibernating / Lost
CUST00203,11,35,307750.46,5,5,5,555,15,Champions
CUST00204,197,1,10874.44,3,1,2,312,6,Needs Attention
CUST00205,6,9,66046.57,5,5,5,555,15,Champions
CUST00206,310,2,12753.15,2,3,3,233,8,At Risk
CUST00207,55,2,11841.2,4,3,3,433,10,Loyal Customers
CUST00208,384,2,20513.82,1,3,4,134,8,At Risk
CUST00209,233,1,15722.58,2,1,3,213,6,Needs Attention
CUST00210,127,1,19019.64,3,1,3,313,7,Needs Attention
CUST00211,264,1,5249.64,2,1,1,211,4,Hibernating / Lost
CUST00212,473,1,3074.83,1,1,1,111,3,Hibernating / Lost
CUST00213,269,4,15082.06,2,4,3,243,9,At Risk
CUST00214,75,1,4950.65,4,1,1,411,6,Recent Customers
CUST00215,134,1,15546.43,3,1,3,313,7,Needs Attention
CUST00216,39,16,83126.95,5,5,5,555,15,Champions
CUST00217,50,6,67123.74,4,5,5,455,14,Champions
CUST00218,27,9,108820.53,5,5,5,555,15,Champions
CUST00219,8,45,289603.1,5,5,5,555,15,Champions
CUST00220,512,1,338.65,1,1,1,111,3,Hibernating / Lost
CUST00221,247,1,12841.18,2,1,3,213,6,Needs Attention
CUST00222,255,3,22631.420000000002,2,4,4,244,10,At Risk (High Value)
CUST00223,137,3,32095.170000000002,3,4,4,344,11,Potential Loyalists
CUST00224,116,1,7672.360000000001,4,1,2,412,7,Recent Customers
CUST00225,99,4,43501.9,4,4,5,445,13,Champions
CUST00226,522,1,15914.85,1,1,3,113,5,Needs Attention
CUST00227,160,1,15211.97,3,1,3,313,7,Needs Attention
CUST00228,141,2,7558.6,3,3,2,332,8,Potential Loyalists
CUST00229,152,2,2920.64,3,3,1,331,7,Potential Loyalists
CUST00230,4,2,18784.489999999998,5,3,3,533,11,Loyal Customers
CUST00231,127,1,6517.25,3,1,2,312,6,Needs Attention
CUST00232,1,6,60984.74,5,5,5,555,15,Champions
CUST00233,518,1,12643.31,1,1,3,113,5,Needs Attention
CUST00234,357,1,9065.93,1,1,2,112,4,Hibernating / Lost
CUST00235,196,6,60903.579999999994,3,5,5,355,13,Potential Loyalists
CUST00236,16,13,121172.89,5,5,5,555,15,Champions
CUST00237,77,5,49414.76,4,5,5,455,14,Champions
CUST00238,95,4,41960.24,4,4,5,445,13,Champions
CUST00239,187,2,13473.64,3,3,3,333,9,Potential Loyalists
CUST00240,1,2,11434.26,5,3,3,533,11,Loyal Customers
CUST00241,82,1,6079.56,4,1,2,412,7,Recent Customers
CUST00242,272,1,11667.439999999999,2,1,3,213,6,Needs Attention
CUST00243,375,1,733.13,1,1,1,111,3,Hibernating / Lost
CUST00244,376,1,2217.66,1,1,1,111,3,Hibernating / Lost
CUST00245,363,3,34068.89,1,4,4,144,9,At Risk (High Value)
CUST00246,140,2,41200.270000000004,3,3,5,335,11,Potential Loyalists
CUST00247,89,1,6344.5,4,1,2,412,7,Recent Customers
CUST00248,272,1,19715.079999999998,2,1,4,214,7,Needs Attention
CUST00249,22,3,14906.42,5,4,3,543,12,Loyal Customers
CUST00250,468,1,3677.1500000000005,1,1,1,111,3,Hibernating / Lost
CUST00251,80,5,20690.34,4,5,4,454,13,Champions
CUST00252,66,2,20224.96,4,3,4,434,11,Loyal Customers
CUST00253,42,2,28107.72,5,3,4,534,12,Loyal Customers
CUST00254,150,2,24038.66,3,3,4,334,10,Potential Loyalists
CUST00255,144,4,27991.18,3,4,4,344,11,Potential Loyalists
CUST00256,1,1,2010.98,5,1,1,511,7,Recent Customers
CUST00257,30,3,11900.1,5,4,3,543,12,Loyal Customers
CUST00258,46,2,8739.83,5,3,2,532,10,Loyal Customers
CUST00259,481,1,9573.49,1,1,2,112,4,Hibernating / Lost
CUST00260,41,6,58114.19,5,5,5,555,15,Champions
CUST00261,39,4,46587.630000000005,5,4,5,545,14,Champions
CUST00262,433,2,18443.02,1,3,3,133,7,At Risk
CUST00263,72,5,33624.43,4,5,4,454,13,Champions
CUST00264,101,6,39242.66,4,5,5,455,14,Champions
CUST00265,170,3,25778.510000000002,3,4,4,344,11,Potential Loyalists
CUST00266,32,5,63609.15,5,5,5,555,15,Champions
CUST00267,141,3,14463.72,3,4,3,343,10,Potential Loyalists
CUST00268,198,3,29576.71,3,4,4,344,11,Potential Loyalists
CUST00269,103,2,27966.5,4,3,4,434,11,Loyal Customers
CUST00270,241,3,16694.08,2,4,3,243,9,At Risk
CUST00271,217,1,11645.58,2,1,3,213,6,Needs Attention
CUST00272,27,6,27328.62,5,5,4,554,14,Champions
CUST00273,24,6,48232.32,5,5,5,555,15,Champions
CUST00274,455,1,3039.78,1,1,1,111,3,Hibernating / Lost
CUST00275,58,4,28356.31,4,4,4,444,12,Champions
CUST00276,351,1,9346.76,1,1,2,112,4,Hibernating / Lost
CUST00277,404,1,4707.57,1,1,1,111,3,Hibernating / Lost
CUST00278,128,3,25085.45,3,4,4,344,11,Potential Loyalists
CUST00279,322,1,20699.96,2,1,4,214,7,Needs Attention
CUST00280,160,4,29644.42,3,4,4,344,11,Potential Loyalists
CUST00281,209,4,28258.36,2,4,4,244,10,At Risk (High Value)
CUST00282,46,2,35884.54,5,3,5,535,13,Loyal Customers
CUST00283,295,1,2790.09,2,1,1,211,4,Hibernating / Lost
CUST00284,376,1,19084.329999999998,1,1,3,113,5,Needs Attention
CUST00285,190,2,21716.13,3,3,4,334,10,Potential Loyalists
CUST00286,138,21,157884.67,3,5,5,355,13,Potential Loyalists
CUST00287,135,2,17189.54,3,3,3,333,9,Potential Loyalists
CUST00289,116,2,14552.02,4,3,3,433,10,Loyal Customers
CUST00290,104,2,5972.860000000001,4,3,2,432,9,Loyal Customers
CUST00291,86,4,35720.44,4,4,4,444,12,Champions
CUST00292,239,1,805.56,2,1,1,211,4,Hibernating / Lost
CUST00293,145,3,16508.84,3,4,3,343,10,Potential Loyalists
CUST00294,166,2,10858.83,3,3,2,332,8,Potential Loyalists
CUST00295,70,14,142257.78,4,5,5,455,14,Champions
CUST00296,78,1,4139.72,4,1,1,411,6,Recent Customers
CUST00297,43,2,28632.07,5,3,4,534,12,Loyal Customers
CUST00298,130,9,62406.43,3,5,5,355,13,Potential Loyalists
CUST00299,535,1,12571.59,1,1,3,113,5,Needs Attention
CUST00300,1,10,85907.66,5,5,5,555,15,Champions
CUST00301,352,3,21352.77,1,4,4,144,9,At Risk (High Value)
CUST00302,79,1,606.94,4,1,1,411,6,Recent Customers
CUST00303,259,1,10909.630000000001,2,1,2,212,5,Hibernating / Lost
CUST00304,147,2,14990.89,3,3,3,333,9,Potential Loyalists
CUST00305,511,1,7295.879999999999,1,1,2,112,4,Hibernating / Lost
CUST00306,404,2,15408.560000000001,1,3,3,133,7,At Risk
CUST00307,195,1,3034.7,3,1,1,311,5,Needs Attention
CUST00308,148,2,24145.93,3,3,4,334,10,Potential Loyalists
CUST00309,254,1,26852.010000000002,2,1,4,214,7,Needs Attention
CUST00310,172,6,34117.72,3,5,4,354,12,Potential Loyalists
CUST00311,6,18,153409.38,5,5,5,555,15,Champions
CUST00312,12,16,142869.26,5,5,5,555,15,Champions
CUST00313,153,3,31713.660000000003,3,4,4,344,11,Potential Loyalists
CUST00314,253,1,13771.019999999999,2,1,3,213,6,Needs Attention
CUST00315,161,3,34287.43,3,4,4,344,11,Potential Loyalists
CUST00316,318,1,18213.980000000003,2,1,3,213,6,Needs Attention
CUST00317,130,1,805.56,3,1,1,311,5,Needs Attention
CUST00318,235,1,6433.91,2,1,2,212,5,Hibernating / Lost
CUST00319,147,2,13825.5,3,3,3,333,9,Potential Loyalists
CUST00320,274,4,24244.15,2,4,4,244,10,At Risk (High Value)
CUST00321,64,3,37926.62,4,4,5,445,13,Champions
CUST00322,226,1,22573.79,2,1,4,214,7,Needs Attention
CUST00323,150,1,5981.82,3,1,2,312,6,Needs Attention
CUST00324,1,45,386252.09,5,5,5,555,15,Champions
CUST00325,3,1,2950.66,5,1,1,511,7,Recent Customers
CUST00326,371,1,1572.3099999999995,1,1,1,111,3,Hibernating / Lost
CUST00327,263,1,8350.14,2,1,2,212,5,Hibernating / Lost
CUST00328,68,4,46009.799999999996,4,4,5,445,13,Champions
CUST00329,44,3,18981.91,5,4,3,543,12,Loyal Customers
CUST00330,286,1,3058.3599999999997,2,1,1,211,4,Hibernating / Lost
CUST00331,121,1,5123.3099999999995,3,1,1,311,5,Needs Attention
CUST00332,49,3,38765.94,4,4,5,445,13,Champions
CUST00333,96,2,7905.16,4,3,2,432,9,Loyal Customers
CUST00334,151,1,2380.92,3,1,1,311,5,Needs Attention
CUST00335,13,11,69814.99,5,5,5,555,15,Champions
CUST00336,296,1,6933.460000000001,2,1,2,212,5,Hibernating / Lost
CUST00337,152,1,24587.780000000002,3,1,4,314,8,Needs Attention
CUST00338,36,11,83138.2,5,5,5,555,15,Champions
CUST00339,372,1,9557.199999999999,1,1,2,112,4,Hibernating / Lost
CUST00340,10,2,8482.14,5,3,2,532,10,Loyal Customers
CUST00341,115,1,768.52,4,1,1,411,6,Recent Customers
CUST00342,146,1,20842.55,3,1,4,314,8,Needs Attention
CUST00343,58,25,223657.16999999998,4,5,5,455,14,Champions
CUST00344,204,1,7436.530000000001,3,1,2,312,6,Needs Attention
CUST00345,35,7,92477.78,5,5,5,555,15,Champions
CUST00346,131,1,18738.11,3,1,3,313,7,Needs Attention
CUST00347,152,1,923.8900000000001,3,1,1,311,5,Needs Attention
CUST00348,1,1,7149.389999999999,5,1,2,512,8,Recent Customers
CUST00349,201,2,7035.21,3,3,2,332,8,Potential Loyalists
CUST00350,282,1,12072.68,2,1,3,213,6,Needs Attention
CUST00351,123,5,51377.77,3,5,5,355,13,Potential Loyalists
CUST00352,488,1,1960.6,1,1,1,111,3,Hibernating / Lost
CUST00353,86,16,112863.59,4,5,5,455,14,Champions
CUST00354,544,1,431.26,1,1,1,111,3,Hibernating / Lost
CUST00355,41,6,57907.27,5,5,5,555,15,Champions
CUST00356,94,4,28963.03,4,4,4,444,12,Champions
CUST00357,273,4,30779.92,2,4,4,244,10,At Risk (High Value)
CUST00358,8,4,33924.37,5,4,4,544,13,Champions
CUST00359,339,3,27834.170000000002,2,4,4,244,10,At Risk (High Value)
CUST00360,301,2,8983.710000000001,2,3,2,232,7,At Risk
