CohortMonth,0,1,2,3,4,5,6
2025-01,1.0,0.246,0.331,0.268,0.218,0.324,0.225
2025-02,1.0,0.237,0.237,0.237,0.224,0.224,0.224
2025-03,1.0,0.2,0.117,0.15,0.183,0.183,0.2
2025-04,1.0,0.154,0.135,0.077,0.154,0.135,0.154
2025-05,1.0,0.099,0.127,0.155,0.085,0.042,0.099
2025-06,1.0,0.107,0.089,0.018,0.107,0.054,0.107
2025-07,1.0,0.068,0.091,0.159,0.068,,0.159
2025-08,1.0,0.044,0.111,0.089,0.133,0.067,0.067
2025-09,1.0,0.111,0.156,0.111,0.133,0.111,0.089
2025-10,1.0,0.079,0.026,0.079,0.105,,0.053
2025-11,1.0,0.167,0.083,0.028,0.028,0.028,0.056
2025-12,1.0,0.062,0.062,0.031,0.188,0.062,0.062
2026-01,1.0,0.062,,0.062,0.031,0.031,
2026-02,1.0,0.115,0.038,,,,
2026-03,1.0,0.077,0.077,0.038,,,
2026-04,1.0,0.154,0.038,,,,
2026-05,1.0,,,,,,
2026-06,1.0,,,,,,
