StockCode,Description,Category,UnitPrice
P10001,Wireless Earbuds,Electronics,606.94
P10002,Bluetooth Speaker,Electronics,2723.88
P10003,Phone Case,Electronics,1049.71
P10004,USB-C Cable,Electronics,3182.97
P10005,Power Bank 10000mAh,Electronics,1034.93
P10006,Smartwatch Band,Electronics,990.13
P10007,Non-Stick Pan,Home & Kitchen,331.24
P10008,LED Desk Lamp,Home & Kitchen,1311.15
P10009,Cotton Bedsheet Set,Home & Kitchen,1519.89
P10010,Insulated Water Bottle,Home & Kitchen,396.84
P10011,Ceramic Mug Set,Home & Kitchen,1993.94
P10012,Storage Organizer,Home & Kitchen,1268.9
P10013,Cotton T-Shirt,Apparel,1190.46
P10014,Denim Jacket,Apparel,1048.3
P10015,Running Shoes,Apparel,980.3
P10016,Wool Sweater,Apparel,1250.39
P10017,Formal Shirt,Apparel,562.91
P10018,Yoga Pants,Apparel,608.28
P10019,Face Serum,Beauty & Personal Care,1312.41
P10020,Herbal Shampoo,Beauty & Personal Care,1426.26
P10021,Lip Balm Set,Beauty & Personal Care,652.97
P10022,Sunscreen SPF50,Beauty & Personal Care,514.51
P10023,Hair Dryer,Beauty & Personal Care,1018.4
P10024,Beard Trimmer,Beauty & Personal Care,700.79
P10025,Yoga Mat,Sports & Outdoors,270.08
P10026,Resistance Bands Set,Sports & Outdoors,636.23
P10027,Water Bottle Sipper,Sports & Outdoors,2203.72
P10028,Camping Torch,Sports & Outdoors,2043.99
P10029,Badminton Racket,Sports & Outdoors,274.87
P10030,Cycling Gloves,Sports & Outdoors,820.52
P10031,Notebook Set,Stationery & Office,268.52
P10032,Gel Pen Pack,Stationery & Office,687.3
P10033,Desk Organizer,Stationery & Office,67.73
P10034,Sticky Notes Pack,Stationery & Office,147.9
P10035,Whiteboard Marker Set,Stationery & Office,808.92
P10036,Backpack,Stationery & Office,218.62
